System,Dataset,Sensitivity,Specificity,MCC,Critical_Under_Triage
GPT-5.1 (Unassisted),physician,0.661,0.985,0.697,0.371
GPT-5.1 (Safety Prompt),physician,0.836,0.956,0.802,0.21
Guardrail Classifier,physician,0.977,0.5,0.562,1.0
CQL Controller,physician,0.955,0.691,0.692,0.274
AWR Controller,physician,0.955,0.706,0.7,0.258
Llama-8B H-Ablation (a=0.0),physician,0.4015151515151515,0.6911764705882353,0.0909454072210164,0.2741935483870967
Llama-8B H-Ablation (a=0.5),physician,0.3863636363636363,0.6911764705882353,0.0765238099793857,0.2903225806451613
Llama-8B H-Ablation (a=1.0),physician,0.4090909090909091,0.6911764705882353,0.0981104910251592,0.2741935483870967
Llama-8B H-Ablation (a=1.5),physician,0.4090909090909091,0.6911764705882353,0.0981104910251592,0.2903225806451613
Llama-8B H-Ablation (a=2.0),physician,0.3787878787878788,0.7058823529411765,0.0840913789430074,0.3387096774193548
Llama-8B H-Ablation (a=3.0),physician,0.3712121212121212,0.75,0.1221133389828038,0.3548387096774194
